Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,1.504933,0.0,163.31360946745562,0.35481483,1.155045,0.9186863283748212,0.9186863283748212,3.9053050757194896,0.05454634,0.45417774,0.00029951322,0.19983774,0.00998379,0.15593117,0.8398329,1.0
60000,1.3450775,0.0,198.53333333333333,0.4804976,3.2828631,0.9188292621354747,0.9188292621354747,5.626199454311433,0.07081,0.46700028,0.00029867506,0.19955836,0.009955877,0.14763442,0.43602175,1.0
90000,1.4102858,0.0,244.41666666666666,0.4517878,3.500844,0.8482983536774018,0.8482983536774018,8.402676017557988,0.4932218,0.44395307,0.00029778975,0.19926323,0.009926398,0.19370009,0.40423933,1.0
120000,1.3614106,0.0,186.24285714285713,0.47149742,3.8903122,0.901891085918587,0.901891085918587,4.251784023376975,0.10416506,0.47593755,0.0002968437,0.1989479,0.009894894,0.12496795,0.28785044,1.0
150000,1.0850705,0.0,94.92926045016077,0.5584364,4.080662,0.9523825390707878,0.9523825390707878,1.8706151911190578,0.15904506,0.49634215,0.0002959368,0.1986456,0.009864696,0.111356854,0.19063924,1.0
180000,0.9935725,1.0,77.28688524590164,0.6268642,4.7403564,0.9606281327794521,0.9606281327794521,2.6370238373185764,0.26251686,0.46791798,0.0002950466,0.19834886,0.009835051,0.13732775,0.2492918,1.0
210000,1.0269583,2.0,62.75735294117647,0.57742923,3.8584273,0.9687517614326846,0.9687517614326846,1.0840568115121463,0.026018988,0.52229553,0.00029417628,0.19805875,0.009806069,0.07354728,0.34583387,1.0
240000,1.1760422,2.0,226.34640522875816,0.35969526,2.4312112,0.8054346597194671,0.8054346597194671,3.634356552064419,0.01819001,0.5069376,0.00029325674,0.19775224,0.0097754495,0.08819358,0.37929362,1.0
270000,1.2491655,2.0,278.94117647058823,0.23110417,1.8675711,0.8077225443340984,0.8077225443340984,4.465250179463742,0.007915823,0.470784,0.00029236023,0.1974534,0.009745594,0.085144795,0.29836002,1.0
300000,1.2087425,2.0,124.63706563706563,0.4596906,1.8009144,0.923990036592858,0.923990036592858,2.3094534469889725,0.0101066055,0.5265066,0.00029145472,0.19715157,0.00971544,0.09218005,0.14868039,1.0
330000,1.2217062,2.0,148.1595744680851,0.38741925,1.8171037,0.91467219029359,0.91467219029359,2.3028010998498947,0.0082316855,0.51888484,0.000290589,0.19686298,0.009686613,0.072934225,0.1380543,1.0
360000,1.0094017,2.0,85.84050632911392,0.5561481,1.792563,0.9548320692277166,0.9548320692277166,1.151274523838903,0.008832984,0.52178395,0.0002896625,0.19655417,0.009655761,0.0697299,0.082648285,1.0
390000,1.0801058,3.0,85.7595818815331,0.57513887,1.6020415,0.9601606492639019,0.9601606492639019,1.0436994187157291,0.0055894675,0.52181965,0.00028879114,0.19626372,0.009626743,0.06658128,0.08882496,1.0
420000,1.127229,3.0,150.40284360189574,0.503913,1.6711515,0.9053388106122137,0.9053388106122137,2.1617982653373655,0.00949969,0.5007844,0.0002878246,0.19594151,0.009594559,0.063724644,0.14042614,1.0
450000,1.26708,3.0,283.43518518518516,0.31239817,2.3586664,0.8005450923068851,0.8005450923068851,20.490832703662853,4.2775273,0.42715773,0.0002869308,0.19564359,0.009564795,2.5294526,0.5343855,1.0
480000,1.2154127,3.0,132.9659090909091,0.35835493,2.3282769,0.907744864313989,0.907744864313989,1.921569401307686,0.036738332,0.4062261,0.00028602933,0.19534309,0.009534775,0.059672084,0.1698635,1.0
510000,1.194321,3.0,169.4816513761468,0.37126178,2.1733372,0.8912756998335647,0.8912756998335647,1.7446358734828846,0.045050792,0.41109613,0.00028514228,0.19504742,0.009505236,0.04967738,0.1646662,1.0
540000,1.1674418,3.0,101.87837837837837,0.55341804,2.1903417,0.9455982625950128,0.9455982625950128,0.9766766960997807,0.028805785,0.43698898,0.00028423016,0.19474338,0.009474863,0.047075927,0.11069299,1.0
570000,1.1068014,4.0,77.35511363636364,0.5887948,2.0061038,0.9583150834968969,0.9583150834968969,0.7099192807939965,0.024963204,0.46537143,0.00028332407,0.19444135,0.009444691,0.043109037,0.0841672,1.0
600000,1.1604418,4.0,98.28731343283582,0.51294106,1.9289418,0.9464762261453664,0.9464762261453664,0.8683065172917438,0.021840142,0.45060855,0.000282476,0.19415869,0.009416449,0.04187092,0.0832947,1.0
630000,1.0632774,5.0,77.2961956521739,0.5913362,2.017902,0.9560801609351871,0.9560801609351871,0.6357947282003733,0.025408747,0.44877958,0.00028155188,0.19385064,0.009385677,0.0396189,0.07067208,1.0
660000,1.1133008,5.0,117.74273858921161,0.5099677,1.6417382,0.9412654308686531,0.9412654308686531,0.9395731216058932,0.012656546,0.42967778,0.00028066026,0.1935534,0.009355986,0.039457705,0.09178549,1.0
690000,1.0467519,6.0,74.74570446735395,0.5385683,1.6069189,0.9623938363096486,0.9623938363096486,0.5279087243627195,0.015825637,0.42938575,0.00027978123,0.1932604,0.009326714,0.03515982,0.077772595,1.0
720000,1.0500323,7.0,108.4695340501792,0.5823575,1.7316068,0.9397518109746169,0.9397518109746169,1.3447075752487434,0.12039782,0.41837782,0.00027884438,0.19294812,0.009295516,0.07170086,0.15967444,1.0
750000,1.2121476,7.0,373.36764705882354,0.3701519,2.339534,0.814784712675545,0.814784712675545,6.740520969330747,0.032518603,0.41839665,0.00027795185,0.19265059,0.009265796,0.072237805,0.27001598,1.0
780000,1.2556804,7.0,727.5714285714286,0.172981,1.5283267,0.3467084919201567,0.3467084919201567,9.961126347964115,0.015392371,0.3967034,0.00027704838,0.1923495,0.009235712,0.069052964,0.19018361,1.0
810000,1.2134221,7.0,524.9318181818181,0.13127455,1.5206615,0.6799599814746115,0.6799599814746115,7.314741886158784,0.011726171,0.41080078,0.00027615138,0.19205046,0.009205841,0.057959218,0.17941771,1.0
840000,1.2019453,7.0,580.24,0.19374833,1.3806458,0.5597419862449169,0.5597419862449169,5.944963186234236,0.008077458,0.38708824,0.00027523495,0.19174495,0.009175322,0.056260627,0.2033305,1.0
870000,1.1994895,7.0,516.6086956521739,0.26606324,1.3742652,0.6312999858156495,0.6312999858156495,6.707761886246178,1.2157482,0.37869632,0.00027433276,0.19144425,0.009145277,0.120647505,0.22246228,1.0
900000,1.2428844,7.0,396.82278481012656,0.24928328,1.6033368,0.7373113868923127,0.7373113868923127,15.358758898522657,0.9606267,0.39560446,0.0002734423,0.19114745,0.009115627,0.13663675,0.19706824,1.0
930000,1.2374699,7.0,434.64,0.2513355,1.1167246,0.68138782518941,0.68138782518941,3.9205925652404896,0.005844165,0.385405,0.0002725437,0.1908479,0.009085705,0.041418876,0.13585094,1.0
960000,1.1679549,7.0,285.1818181818182,0.3365347,1.6405859,0.8281712787281169,0.8281712787281169,13.68637495420154,2.7031763,0.41637227,0.00027166813,0.19055605,0.009056547,0.16952391,0.16609557,1.0
990000,1.2494142,7.0,395.10526315789474,0.2830046,1.1642958,0.7444722108128998,0.7444722108128998,3.24959692850502,0.0060328045,0.39833805,0.00027075867,0.19025286,0.009026261,0.039132033,0.171518,1.0
1020000,1.2401006,7.0,283.0520833333333,0.23168981,0.950458,0.8103499908988573,0.8103499908988573,2.088736817411774,0.0064950776,0.3862435,0.00026984335,0.18994777,0.008995782,0.035361983,0.1329542,1.0
1050000,1.2205529,7.0,341.6842105263158,0.27819157,1.1179752,0.8085697832672546,0.8085697832672546,2.657851785343761,0.009409012,0.40355322,0.00026894285,0.18964761,0.008965796,0.04556827,0.14362513,1.0
1080000,1.2120469,7.0,312.7448979591837,0.33028415,1.1094078,0.7606231462014349,0.7606231462014349,2.648492883435009,0.006692507,0.40264228,0.00026806357,0.18935452,0.008936516,0.042389847,0.123124324,1.0
1110000,1.0659537,7.0,154.27272727272728,0.51656646,1.3188746,0.905034992347161,0.905034992347161,1.3833880355659252,0.007653175,0.42615277,0.0002671786,0.18905954,0.008907047,0.03827421,0.083109446,1.0
1140000,1.1542919,7.0,379.14864864864865,0.31515446,1.4479729,0.7371013989331017,0.7371013989331017,3.772777928957637,0.048251595,0.4112987,0.00026625468,0.18875153,0.00887628,0.06125583,0.14077073,1.0
1170000,1.0668976,7.0,266.8333333333333,0.3665488,1.3347776,0.8040443508696735,0.8040443508696735,4.371044966882389,0.39716983,0.4160281,0.0002653488,0.18844962,0.008846116,0.04820441,0.14788668,1.0
1200000,1.0502179,7.0,181.62328767123287,0.4203336,1.2198251,0.9145464223410402,0.9145464223410402,1.2564642060281974,0.010138107,0.43567672,0.0002644376,0.18814586,0.008815771,0.039520122,0.10886189,1.0
1230000,1.0373056,7.0,202.50314465408806,0.44251847,1.1952881,0.8648823844561787,0.8648823844561787,1.5923944252115563,0.008264823,0.40883973,0.00026353358,0.18784451,0.008785666,0.035205107,0.06236923,1.0
1260000,1.0264465,7.0,185.23648648648648,0.47725543,1.1180699,0.8854401278995762,0.8854401278995762,1.3460785120382512,0.008836131,0.44199196,0.00026264178,0.18754727,0.008755971,0.03422341,0.07848938,1.0
1290000,0.9562166,7.0,192.57803468208093,0.46863797,1.4589536,0.8869670531109852,0.8869670531109852,2.079680232484551,0.05743203,0.4428297,0.00026173613,0.18724537,0.008725813,0.04911475,0.12137379,1.0
1320000,1.0035292,7.0,176.6846153846154,0.42645597,1.0269779,0.8980022354968893,0.8980022354968893,0.9207323495291674,0.0064186216,0.44749972,0.0002608734,0.1869578,0.008697083,0.025176512,0.070339605,1.0
1350000,1.0530248,7.0,259.96666666666664,0.3591607,0.93373173,0.8262508258844415,0.8262508258844415,1.864837208770526,0.013587036,0.4139779,0.0002599569,0.18665232,0.008666563,0.036282174,0.07784972,1.0
1380000,0.97187227,7.0,210.09036144578315,0.4132603,1.2129064,0.8627322930264176,0.8627322930264176,1.3153289966979382,0.15811391,0.42517254,0.00025905296,0.18635099,0.008636462,0.04633026,0.13186768,1.0
1410000,0.96423113,7.0,156.47305389221557,0.4851926,1.116838,0.8877111079269334,0.8877111079269334,1.8972504663455425,0.011661887,0.4458137,0.00025813488,0.18604495,0.00860589,0.027389346,0.118871115,1.0
1440000,1.0827402,7.0,265.4824561403509,0.3486971,1.2340326,0.7903396340909304,0.7903396340909304,2.8163847044311665,0.02416178,0.43152237,0.00025725865,0.18575288,0.008576711,0.047469154,0.14235686,1.0
1470000,0.9873544,7.0,216.95,0.40698248,0.8981153,0.8746369355328524,0.8746369355328524,0.9642958835740189,0.0071117003,0.42539155,0.00025633577,0.18544526,0.008545981,0.022981199,0.099718586,1.0
1500000,0.85435736,7.0,123.43362831858407,0.576412,0.99419886,0.9152530401297237,0.9152530401297237,0.6990722250618526,0.006176062,0.46030754,0.0002554315,0.18514386,0.008515868,0.025024654,0.06592845,1.0
1530000,0.9105521,7.0,152.44502617801047,0.46502563,1.0366733,0.9123105790328097,0.9123105790328097,0.9377894600823758,0.009644371,0.44959542,0.00025454027,0.18484674,0.00848619,0.034263324,0.0923151,1.0
1560000,0.84357506,7.0,130.78604651162792,0.5061728,0.8629805,0.9090821079978155,0.9090821079978155,0.6731980191308732,0.004917047,0.4218546,0.00025367545,0.18455848,0.008457391,0.021088475,0.07578932,1.0
1590000,0.9569333,7.0,163.527950310559,0.46669236,1.0548644,0.8865727241292144,0.8865727241292144,1.2418252695013177,0.047156338,0.46039477,0.00025277474,0.18425824,0.008427398,0.038025305,0.12790081,1.0
1620000,1.0313238,7.0,250.1640625,0.36064622,0.81243694,0.8059795031659915,0.8059795031659915,1.4671871103346348,0.004346737,0.40208235,0.00025185276,0.18395092,0.008396695,0.028298121,0.11230203,1.0
1650000,0.9575043,7.0,174.28220858895705,0.4684864,0.78391826,0.8768872700857394,0.8768872700857394,1.0538109605257033,0.0040825815,0.44630948,0.00025094458,0.18364818,0.008366453,0.03135444,0.08061432,1.0
1680000,0.83756506,7.0,157.15533980582524,0.51077336,0.70891804,0.8861955413687053,0.8861955413687053,0.7429525108937645,0.003989165,0.46413022,0.0002500336,0.18334453,0.0083361175,0.020783303,0.056718793,1.0
1710000,0.7867566,7.0,141.05627705627705,0.49905947,0.72258,0.9170388142393611,0.9170388142393611,0.7214264904663659,0.0059819324,0.4561244,0.0002491342,0.18304475,0.008306167,0.02418519,0.054828312,1.0
1740000,0.8759188,7.0,164.30573248407643,0.5162722,0.64649534,0.8948274972382932,0.8948274972382932,0.7295857349294238,0.003563519,0.43327352,0.00024827095,0.18275699,0.008277422,0.021389155,0.05752397,1.0
1770000,0.8707787,7.0,171.7860962566845,0.4806603,0.74806505,0.8918735128399488,0.8918735128399488,0.9931981218223637,0.0052791666,0.4710398,0.00024735712,0.18245237,0.008246991,0.027720768,0.059327308,1.0
1800000,0.8452563,7.0,134.75242718446603,0.54670423,0.5939194,0.9236704399946876,0.9236704399946876,0.5445967983417763,0.0038649114,0.46566004,0.0002464637,0.18215457,0.00821724,0.02200905,0.056760788,1.0
1830000,0.8873536,7.0,164.1,0.5033718,0.5589981,0.8860953179193519,0.8860953179193519,0.8568037201007773,0.004216833,0.45189714,0.0002455559,0.18185197,0.008187009,0.02406096,0.07905581,1.0
1860000,0.88853216,7.0,198.8734939759036,0.51075184,0.6089081,0.8842616729036776,0.8842616729036776,1.153966271480222,0.004251799,0.5005011,0.00024465792,0.18155265,0.008157108,0.026575921,0.09169383,1.0
1890000,0.88774675,7.0,185.63030303030303,0.44877696,0.6265305,0.8887042154569224,0.8887042154569224,0.9259285383285528,0.006739916,0.43264896,0.00024377814,0.18125936,0.0081278095,0.022625018,0.07125428,1.0
1920000,0.7986508,7.0,144.981981981982,0.5077532,0.6412513,0.899962439357695,0.899962439357695,0.718824248575517,0.005260297,0.46483064,0.00024286826,0.1809561,0.008097513,0.025457386,0.05912874,1.0
1950000,0.88076156,7.0,147.38823529411764,0.53186077,0.70402235,0.9195758815635653,0.9195758815635653,0.7009535339496592,0.0063718413,0.48061556,0.00024195023,0.18065007,0.008066941,0.024079336,0.09202065,1.0
1980000,0.8507013,7.0,177.79329608938548,0.45983568,0.6285847,0.8693122058067211,0.8693122058067211,0.8861358581912205,0.0035435383,0.4495826,0.0002410457,0.18034856,0.008036819,0.02045809,0.07947324,1.0
2010000,0.763337,7.0,119.06967213114754,0.5318273,0.6701338,0.9243744932386556,0.9243744932386556,0.4335161223253499,0.0032773279,0.4784162,0.00024013488,0.18004496,0.008006489,0.017904345,0.050110668,1.0
2040000,0.7712069,7.0,135.7125,0.49977142,0.6470729,0.9107758447338464,0.9107758447338464,0.5363319473956727,0.005015723,0.4681106,0.00023923132,0.17974378,0.007976402,0.018640136,0.05570609,1.0
2070000,0.74586266,7.0,112.25384615384615,0.5948516,0.8406044,0.9325361206504329,0.9325361206504329,0.44826140858856217,0.0049246526,0.4671564,0.00023832159,0.17944053,0.0079461085,0.016924558,0.04391258,1.0
2100000,0.91324335,7.0,149.33132530120483,0.51088434,0.75672376,0.9035812830715849,0.9035812830715849,0.6446444113515535,0.003984568,0.47820044,0.00023745056,0.17915018,0.0079171,0.02084149,0.06887733,1.0
2130000,0.7926454,7.0,171.63819095477388,0.50509584,0.7496411,0.8920515280368985,0.8920515280368985,0.9728177487279992,0.024761751,0.43931246,0.000236536,0.17884532,0.007886647,0.02876672,0.048343185,1.0
2160000,0.8358347,7.0,184.7289156626506,0.46054468,1.0398219,0.8618143640324741,0.8618143640324741,4.744006920455325,1.2305763,0.43560943,0.00023565613,0.17855203,0.007857347,0.11473862,0.11331194,1.0
2190000,0.8425741,7.0,127.69791666666667,0.52289593,0.9139089,0.9192010492870683,0.9192010492870683,0.547970089561453,0.01520959,0.44707417,0.00023472174,0.17824055,0.007826232,0.023359755,0.06177199,1.0
2220000,0.8048917,7.0,172.75252525252526,0.46924984,0.68783176,0.8840726392334374,0.8840726392334374,0.5780010227836779,0.004485661,0.46386787,0.00023385181,0.17795059,0.0077972645,0.016555775,0.047078047,1.0
2250000,0.86785805,7.0,137.43814432989691,0.4812321,0.705414,0.9009466316222836,0.9009466316222836,0.6268756293397338,0.004309703,0.46849015,0.00023296484,0.17765494,0.0077677285,0.020842444,0.06979775,1.0
2280000,0.88139117,7.0,156.97894736842105,0.46770307,0.72586375,0.9054575891706956,0.9054575891706956,0.6498548087044692,0.005100188,0.41950116,0.0002320653,0.17735508,0.007737773,0.021713508,0.071957886,1.0
2310000,0.8411319,7.0,173.33689839572193,0.466721,0.70047,0.8788494499319274,0.8788494499319274,0.7970540580825637,0.0043174615,0.45597374,0.00023115175,0.17705059,0.007707352,0.018981855,0.06304936,1.0
2340000,0.85738486,7.0,162.14646464646464,0.45953852,0.63450044,0.9006756457640099,0.9006756457640099,0.5351473114651102,0.004111687,0.4554345,0.0002302441,0.17674802,0.0076771276,0.017150508,0.0570533,1.0
2370000,0.8978815,7.0,132.99447513812154,0.43011102,0.6004269,0.8842232773307139,0.8842232773307139,0.631359930470507,0.003706412,0.4391105,0.00022935352,0.17645116,0.00764747,0.021005878,0.06149527,1.0
2400000,0.8404175,7.0,142.59047619047618,0.47647277,0.6473063,0.9052394201190999,0.9052394201190999,0.61605440490306,0.0056782397,0.4564299,0.00022846926,0.17615639,0.0076180245,0.019703353,0.061200358,1.0
2430000,0.6933778,7.0,126.00363636363636,0.54971606,0.6985989,0.9260367838133658,0.9260367838133658,0.4806005140400625,0.004499039,0.46635097,0.00022755745,0.17585246,0.007587661,0.016181055,0.05078096,1.0
2460000,0.7076527,7.0,120.77777777777777,0.5358293,0.72935075,0.9343779973238706,0.9343779973238706,0.4227727989703417,0.004279257,0.48194128,0.00022666383,0.17555459,0.007557905,0.020495212,0.04526105,1.0
2490000,0.69575965,7.0,104.9589552238806,0.55385286,0.7761968,0.9291085808524,0.9291085808524,0.5181782937108247,0.0039700046,0.45702648,0.00022572327,0.17524108,0.0075265844,0.019978372,0.053585928,1.0
2520000,0.6726258,7.0,104.92193308550186,0.5703351,0.71861815,0.9409161732011639,0.9409161732011639,0.3277810832103783,0.0037684476,0.48501828,0.0002248187,0.17493956,0.007496462,0.01625797,0.040984154,1.0
2550000,0.8345258,7.0,173.79768786127167,0.45939267,0.62865645,0.8843051386731011,0.8843051386731011,0.6561320092954805,0.003544554,0.4234709,0.00022393529,0.1746451,0.0074670445,0.01921972,0.069984294,1.0
2580000,0.78474426,7.0,134.41206030150755,0.4740081,0.64480126,0.9219959385428332,0.9219959385428332,0.47982896253617885,0.0037943472,0.43962023,0.00022302826,0.17434275,0.0074368394,0.018833503,0.056527592,1.0
2610000,0.66217047,7.0,126.28787878787878,0.5737524,0.6683263,0.9339097353179803,0.9339097353179803,0.4325124496308047,0.0037068005,0.46721455,0.00022212068,0.1740402,0.007406618,0.017596329,0.02947755,1.0
2640000,0.8166933,7.0,129.23076923076923,0.47979602,0.5827487,0.9004495126710644,0.9004495126710644,0.531120813431363,0.003383108,0.4625948,0.00022127149,0.17375714,0.0073783374,0.018160792,0.0604508,1.0
2670000,0.6669708,7.0,123.9409594095941,0.55316395,0.5946226,0.9269889269257824,0.9269889269257824,0.4808081194992105,0.0038955815,0.46117598,0.0002203148,0.17343824,0.0073464816,0.021598732,0.057511922,1.0
2700000,0.7617579,7.0,134.11415525114154,0.4884846,0.6625586,0.9300114138553676,0.9300114138553676,0.5518130199413865,0.003923364,0.45593303,0.00021944252,0.17314748,0.007317435,0.02151649,0.060759835,1.0
2730000,0.690786,7.0,113.26377952755905,0.53806967,0.73711336,0.9226175759395119,0.9226175759395119,1.1494581248189206,0.20117188,0.43845335,0.00021855743,0.17285247,0.0072879614,0.044187285,0.057179753,1.0
2760000,0.7278259,7.0,129.44166666666666,0.5440952,0.6777041,0.9233242776781443,0.9233242776781443,0.4694115331496108,0.0034538656,0.4619594,0.00021764696,0.17254895,0.0072576418,0.018582994,0.08797458,1.0
2790000,0.747355,7.0,124.95714285714286,0.50435114,0.6161146,0.9234142145980591,0.9234142145980591,0.4332238862388083,0.0035513695,0.45379573,0.00021676243,0.17225412,0.0072281873,0.01559524,0.051534843,1.0
2820000,0.5927332,7.0,112.93870967741935,0.59124315,0.593207,0.9333039463840818,0.9333039463840818,0.30147111409889094,0.0033944226,0.48384815,0.00021584517,0.17194834,0.007197643,0.012987811,0.03413254,1.0
2850000,0.7292379,7.0,107.26229508196721,0.54093456,0.60000104,0.9389495981931686,0.9389495981931686,0.4214888880625367,0.0031739792,0.464128,0.00021496277,0.17165424,0.0071682585,0.018759267,0.053636458,1.0
2880000,0.7068123,7.0,121.99551569506727,0.52611023,0.6068799,0.9248318172313951,0.9248318172313951,0.4724031891821968,0.0034434004,0.4737619,0.00021404197,0.1713473,0.0071375957,0.021599408,0.085636504,1.0
2910000,0.7293409,7.0,152.78854625550662,0.50682026,0.59429955,0.896147764354412,0.896147764354412,0.5605715825555048,0.0036605657,0.42094806,0.0002131372,0.17104574,0.0071074674,0.014750813,0.038185667,1.0
2940000,0.7353401,7.0,124.45416666666667,0.53900415,0.5943601,0.9212479148991406,0.9212479148991406,0.5146164363929225,0.0071871146,0.47515336,0.00021222881,0.17074291,0.007077218,0.021903407,0.03185766,1.0
2970000,0.76729053,7.0,117.02788844621514,0.59770226,0.60043895,0.9301320273079909,0.9301320273079909,0.3515763190225698,0.0030598105,0.46969786,0.00021135961,0.17045318,0.007048274,0.0156228375,0.046707988,1.0
3000000,0.7189111,7.0,113.2,0.54266584,0.60067713,0.9300394950575438,0.9300394950575438,0.4043591717031135,0.023676818,0.46731246,0.00021043961,0.17014654,0.0070176376,0.022856522,0.050107323,1.0
3030000,0.67489135,7.0,127.17446808510638,0.526946,0.9381214,0.9287208997049048,0.9287208997049048,1.5068819077960292,0.25248545,0.41863233,0.00020954476,0.16984823,0.006987839,0.04565716,0.04389459,1.0
3060000,0.7251656,7.0,135.73394495412845,0.5321714,0.5255213,0.9099550450545385,0.9099550450545385,0.4326986132890259,0.002939198,0.4705192,0.00020866978,0.1695566,0.006958702,0.01345666,0.030748397,1.0
3090000,0.7267884,7.0,118.65652173913044,0.49487406,0.43629918,0.9232082556771195,0.9232082556771195,0.3313533481453424,0.003181234,0.47317553,0.0002077714,0.16925712,0.0069287866,0.013856203,0.050289456,1.0
3120000,0.77644783,7.0,146.76415094339623,0.51640016,0.41196555,0.9032875550777147,0.9032875550777147,0.4742698394047301,0.003275022,0.47513598,0.00020686911,0.16895637,0.006898741,0.017509962,0.049429122,1.0
3150000,0.6036123,7.0,104.14603174603175,0.5636472,0.43816462,0.9407396836176751,0.9407396836176751,0.35435316500342673,0.003040204,0.5355149,0.0002059707,0.16865689,0.006868823,0.015976397,0.050267633,1.0
3180000,0.65855014,7.0,91.33214285714286,0.60828876,0.4113152,0.9472960989050409,0.9472960989050409,0.2243364569896185,0.0019863243,0.5197832,0.00020507188,0.16835727,0.0068388926,0.011597839,0.026146615,1.0
3210000,0.7901949,7.0,115.42412451361868,0.52921623,0.38166568,0.922547409733928,0.922547409733928,0.3299147334038855,0.0023732677,0.47827023,0.00020416212,0.16805403,0.0068085976,0.014518879,0.026126623,1.0
3240000,0.56612533,7.0,106.28739002932551,0.5821867,0.36436602,0.9344402941750056,0.9344402941750056,0.34022731628102154,0.0027364988,0.48471516,0.0002032202,0.16774006,0.006777232,0.015137716,0.038178273,1.0
3270000,0.7087183,8.0,78.97628458498023,0.5686496,0.34560406,0.9593454226851463,0.9593454226851463,0.23180776442763687,0.0027181727,0.49930042,0.00020234009,0.1674467,0.006747924,0.015047342,0.052710857,1.0
3300000,0.9726909,8.0,231.66666666666666,0.372091,0.40015963,0.8325846804691864,0.8325846804691864,0.913047644754385,0.003959865,0.46007445,0.00020144042,0.16714679,0.0067179655,0.019765172,0.052217666,1.0
3330000,0.86580163,8.0,243.6209677419355,0.37133226,0.39058357,0.8273146275158335,0.8273146275158335,0.8716040883947739,0.0033524442,0.43600154,0.00020053548,0.16684513,0.0066878297,0.014521751,0.049532156,1.0
