Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.5893111,0.0,-0.061948054,1.0308495,0.23429348,0.47137114,0.00029947984,0.19982661,0.009982677,0.16594115,0.8214716,583.0652173913044,0.6855714154385385,0.6855714154385385,18.453356707379932,1.0
60000,1.5026182,0.0,0.1584951,2.8436596,0.041862253,0.45414737,0.00029866715,0.19955572,0.009955615,0.16718775,0.39156136,414.96774193548384,0.7868393849242817,0.7868393849242817,12.169302134351296,1.0
90000,1.3760215,0.0,0.302272,3.6874473,0.097381,0.46383387,0.0002977434,0.19924779,0.009924853,0.13534841,0.3682765,257.7835820895522,0.8608503801993621,0.8608503801993621,7.7751394564849,1.0
120000,1.2870046,0.0,0.5124709,3.0657234,0.047631647,0.48079163,0.0002968557,0.1989519,0.009895296,0.12445679,0.32131943,155.6893203883495,0.9211748738227219,0.9211748738227219,3.280578531948804,1.0
150000,1.1774225,0.0,0.5532605,2.8822112,0.04758163,0.45597336,0.00029594774,0.19864921,0.009865058,0.10765066,0.22852808,110.412,0.9479657243636828,0.9479657243636828,2.2170066825835213,1.0
180000,1.1535677,0.0,0.5692,3.2046669,0.077457905,0.4751198,0.00029502486,0.19834161,0.009834327,0.11914972,0.18083698,103.87128712871286,0.9439848475032784,0.9439848475032784,2.263058951406768,1.0
210000,1.0445296,1.0,0.6684515,4.110413,0.1450553,0.46956295,0.00029413056,0.1980435,0.009804547,0.14981104,0.3880217,72.14024390243902,0.9641562498485049,0.9641562498485049,2.4561931739250817,1.0
240000,1.0256807,2.0,0.594269,2.8049889,0.010608207,0.41953442,0.00029326256,0.19775419,0.009775642,0.08282997,0.2609216,86.21031746031746,0.9568880307973582,0.9568880307973582,1.5142716750157386,1.0
270000,1.1124051,2.0,0.18283571,1.6269757,0.018191366,0.4347955,0.00029234754,0.19744918,0.009745171,0.069617555,0.36736077,549.9310344827586,0.4929618051783605,0.4929618051783605,8.20932984369045,1.0
300000,1.2160412,2.0,0.20828688,1.8277032,0.019249177,0.35372087,0.00029145327,0.19715108,0.009715392,0.08738283,0.24603948,396.05263157894734,0.6618467407760682,0.6618467407760682,6.301379857512264,1.0
330000,1.337224,2.0,0.29848927,2.5874648,0.036351923,0.42234787,0.0002905239,0.19684131,0.009684445,0.10085036,0.15895979,331.5824175824176,0.790018878918555,0.790018878918555,6.8961856092015905,1.0
360000,1.2957591,2.0,0.24931848,2.0720809,0.008428139,0.4461456,0.00028960282,0.19653426,0.009653775,0.071960665,0.16438615,334.7551020408163,0.7750063737101377,0.7750063737101377,5.605656847833319,1.0
390000,1.2093778,2.0,0.4259381,1.7325668,0.010833257,0.43043038,0.00028874408,0.19624804,0.009625177,0.06889777,0.19171675,206.25165562913907,0.8893519672320077,0.8893519672320077,2.752871038196118,1.0
420000,1.2538818,2.0,0.4861379,1.8515737,0.0107761985,0.45554906,0.0002878506,0.19595018,0.009595425,0.073582925,0.11139292,139.0,0.9264331645894759,0.9264331645894759,2.2754864003509283,1.0
450000,1.1999388,2.0,0.48166868,1.8902448,0.04806364,0.45113558,0.0002869501,0.19565003,0.009565438,0.06646823,0.1624055,158.24886877828055,0.9158537011524593,0.9158537011524593,2.3656306708990424,1.0
480000,1.1733184,2.0,0.57361317,1.9323514,0.011830745,0.45339456,0.00028606394,0.19535464,0.009535928,0.06461227,0.1378827,115.87083333333334,0.9417222218871607,0.9417222218871607,1.4727310500579116,1.0
510000,1.1304783,3.0,0.6261395,1.7312376,0.008987917,0.46522164,0.00028521207,0.19507068,0.009507561,0.05311743,0.12395868,86.0431654676259,0.9575499968603254,0.9575499968603254,1.0231325037411547,1.0
540000,1.2303077,3.0,0.44630057,1.3512244,0.006284178,0.4407964,0.00028425676,0.19475228,0.009475749,0.056835376,0.21189798,212.33098591549296,0.886184779279258,0.886184779279258,2.493589027268488,1.0
570000,1.2125657,3.0,0.47240818,1.3529631,0.0073211496,0.44497666,0.00028336578,0.19445525,0.00944608,0.050118294,0.15013969,165.6010101010101,0.8924081183705234,0.8924081183705234,1.6998892896785047,1.0
600000,1.138546,3.0,0.54156065,1.4336288,0.00885948,0.46082598,0.00028245244,0.1941508,0.009415666,0.050792765,0.105432644,107.18505338078292,0.9451541191627902,0.9451541191627902,1.1664699811394923,1.0
630000,1.0889374,3.0,0.55679125,1.534921,0.009111534,0.47439158,0.00028153186,0.19384395,0.009385011,0.049439028,0.1455621,105.26315789473684,0.9364143308748801,0.9364143308748801,1.0221421981571863,1.0
660000,1.0718541,4.0,0.5633947,1.6769216,0.009819902,0.5075888,0.00028065188,0.19355062,0.009355706,0.0471744,0.113775246,85.228125,0.9591484386939555,0.9591484386939555,0.8082467030733824,1.0
690000,1.2200577,4.0,0.38087773,1.4302437,0.008568478,0.45938733,0.00027976595,0.1932553,0.009326205,0.0499075,0.17983647,169.2214765100671,0.8966412877363543,0.8966412877363543,1.6666938232077706,1.0
720000,1.1739832,4.0,0.4795373,1.4317251,0.009148158,0.49059612,0.00027886673,0.19295557,0.009296261,0.043752454,0.14202589,116.05118110236221,0.93065175048804,0.93065175048804,1.0802452930300008,1.0
750000,1.1661854,4.0,0.4559143,1.2739011,0.0073774317,0.4956566,0.0002779443,0.19264808,0.009265543,0.045138985,0.123935595,143.2127659574468,0.9147770897308898,0.9147770897308898,1.314881950879412,1.0
780000,1.0939353,4.0,0.5386936,1.2547127,0.0061713234,0.5486592,0.00027703732,0.19234577,0.009235341,0.039807815,0.124819264,100.4041095890411,0.9394886647288998,0.9394886647288998,0.8321325044582287,1.0
810000,1.0615888,4.0,0.57723564,1.1155272,0.0045738555,0.5488229,0.00027613994,0.19204664,0.00920546,0.04042017,0.10728756,91.52121212121212,0.9517246946329023,0.9517246946329023,0.7561530270968655,1.0
840000,1.0397499,5.0,0.5351063,0.97778535,0.0056425803,0.5408277,0.00027525282,0.19175094,0.009175919,0.039802387,0.10734147,81.3782894736842,0.9575656539813838,0.9575656539813838,0.657110685524954,1.0
870000,1.145799,5.0,0.4684338,1.0019177,0.005224414,0.5125573,0.0002743307,0.19144355,0.0091452105,0.037386004,0.13404849,144.71844660194174,0.9038398047927224,0.9038398047927224,1.0816119798251147,1.0
900000,1.1544402,5.0,0.42852172,1.0687271,0.005228433,0.47494793,0.00027342333,0.19114107,0.0091149965,0.04102999,0.11659841,167.98333333333332,0.8945840636043103,0.8945840636043103,1.4543858534032172,1.0
930000,1.0383719,5.0,0.5478214,1.033419,0.005202621,0.5367431,0.0002725392,0.19084641,0.009085555,0.038435064,0.09124737,94.39024390243902,0.953581035779468,0.953581035779468,0.7134829499341291,1.0
960000,1.0366901,5.0,0.5465087,0.8796584,0.0044724215,0.5710142,0.00027164374,0.19054791,0.009055737,0.03576526,0.089953475,112.78187919463087,0.9361598621927151,0.9361598621927151,0.8262479183245071,1.0
990000,1.0313839,5.0,0.5347651,1.0264812,0.006792531,0.5474968,0.00027071772,0.19023924,0.0090248985,0.036587086,0.08511886,98.98275862068965,0.9433915224115728,0.9433915224115728,0.8003331682881561,1.0
1020000,0.9830982,6.0,0.5755068,0.9883496,0.0043427143,0.5698018,0.00026984973,0.18994993,0.008995995,0.033301815,0.07391249,81.95013850415512,0.9560395017348601,0.9560395017348601,0.5478486785573823,1.0
1050000,0.9201308,6.0,0.6268223,0.7425099,0.00369561,0.6035404,0.0002689743,0.1896581,0.008966844,0.02922866,0.053527914,59.75917431192661,0.9699331794088611,0.9699331794088611,0.3594829683977475,1.0
1080000,1.1316718,7.0,0.4177133,1.3658884,0.019321283,0.4308811,0.0002680561,0.18935202,0.008936266,0.06211824,0.13891493,246.41666666666666,0.8673684142137829,0.8673684142137829,4.001840901806166,1.0
1110000,1.2165906,7.0,0.18087116,1.1791168,0.015337098,0.41339082,0.00026712555,0.18904184,0.00890528,0.06302332,0.13444465,565.6078431372549,0.5192452637513854,0.5192452637513854,5.886981032085869,1.0
1140000,1.2484179,7.0,0.22862142,0.97070116,0.005329981,0.3957942,0.00026623465,0.18874486,0.008875612,0.038396534,0.15478383,546.2,0.5884046020989234,0.5884046020989234,5.577579941314,1.0
1170000,1.2570215,7.0,0.18903096,0.98242766,0.0056057875,0.43285164,0.00026534003,0.18844667,0.008845821,0.047750313,0.1400184,645.0833333333334,0.4802444295750724,0.4802444295750724,6.7991082930213045,1.0
1200000,1.2497883,7.0,0.11357317,0.80920863,0.003401534,0.37383324,0.00026443432,0.18814477,0.008815663,0.039098874,0.10990319,724.1333333333333,0.53613570066435,0.53613570066435,4.286164281623704,1.0
1230000,1.266251,7.0,0.15083186,0.7869114,0.003510039,0.40828785,0.000263536,0.18784533,0.008785749,0.040416103,0.12842086,494.1320754716981,0.5847690730609677,0.5847690730609677,4.443753296678716,1.0
1260000,1.2426704,7.0,0.21940908,0.8107848,0.0041309115,0.41556323,0.0002626632,0.18755439,0.008756684,0.03363941,0.09603233,502.1311475409836,0.6598349076414866,0.6598349076414866,3.5305475906601975,1.0
1290000,1.2249528,7.0,0.24234043,0.76419353,0.005491221,0.41621834,0.00026175354,0.18725118,0.008726391,0.04015831,0.1047278,393.27142857142854,0.7349342759166445,0.7349342759166445,2.8926896617082614,1.0
1320000,1.2962391,7.0,0.17033523,0.86244786,0.0043841335,0.4109983,0.0002608366,0.18694553,0.008695857,0.044964574,0.19407676,642.6122448979592,0.5348859848082066,0.5348859848082066,5.48800699763,1.0
1350000,1.2695093,7.0,0.20183843,0.9007645,0.004386908,0.41280344,0.00025995699,0.18665233,0.008666566,0.039635617,0.13556455,469.8524590163934,0.6951338863473827,0.6951338863473827,3.9513999684950556,1.0
1380000,1.2487404,7.0,0.29730648,0.9551365,0.0132427225,0.42203507,0.00025907953,0.18635985,0.008637349,0.04866364,0.1188357,549.8148148148148,0.643867843917438,0.643867843917438,4.2719248820628435,1.0
1410000,1.2007394,7.0,0.30426937,1.1816276,0.53646505,0.41071174,0.00025814492,0.18604831,0.008606226,0.14928862,0.12420687,323.0091743119266,0.7478644132184294,0.7478644132184294,5.63708457742961,1.0
1440000,1.1889024,7.0,0.3114432,0.8983429,0.004599321,0.42315826,0.00025723092,0.18574362,0.008575788,0.030409884,0.14368914,270.8241758241758,0.8331731092385066,0.8331731092385066,1.5532642454609915,1.0
1470000,1.144742,7.0,0.32977676,0.88371587,0.006034736,0.4177894,0.0002563256,0.18544187,0.008545642,0.03553053,0.15291777,341.10280373831773,0.7283050425425924,0.7283050425425924,2.600677103796654,1.0
1500000,1.0954337,7.0,0.40685916,0.82196033,0.0043800473,0.44572994,0.00025545424,0.18515141,0.008516624,0.02761073,0.095719635,215.1639344262295,0.8690969426440829,0.8690969426440829,1.1239966296285164,1.0
1530000,1.1186436,7.0,0.28264356,0.7733811,0.004358189,0.41768,0.00025455875,0.1848529,0.008486805,0.031548735,0.09040695,275.76785714285717,0.8008798099370724,0.8008798099370724,1.7709088881303547,1.0
1560000,1.0718983,7.0,0.35925537,0.87631506,0.004533029,0.4132059,0.00025364984,0.18454994,0.008456538,0.0336367,0.07856005,216.1705426356589,0.8516566906505683,0.8516566906505683,1.456793158601119,1.0
1590000,1.072138,7.0,0.34684667,0.83397907,0.006238458,0.4330991,0.00025276328,0.18425441,0.008427016,0.036708795,0.100808635,265.94174757281553,0.8168615350643029,0.8168615350643029,1.5661440706955125,1.0
1620000,1.0369303,7.0,0.455477,0.79913354,0.004485237,0.47903353,0.0002518713,0.1839571,0.008397314,0.027954396,0.05903997,186.02409638554218,0.8857810617639468,0.8857810617639468,1.3069254777025012,1.0
1650000,1.0123006,7.0,0.44419962,0.7109412,0.0038192242,0.46381852,0.00025095508,0.18365169,0.008366804,0.03574536,0.07168516,228.1,0.8310662087657161,0.8310662087657161,1.3753126718707986,1.0
1680000,1.0195781,7.0,0.44088495,0.7414438,0.006133465,0.46771672,0.00025005257,0.18335085,0.008336751,0.029736314,0.105742864,192.21153846153845,0.8886552574113011,0.8886552574113011,1.2204398228786886,1.0
1710000,1.0884963,7.0,0.37801522,0.80347395,0.0035340285,0.46913078,0.0002491291,0.18304302,0.0083059985,0.034288492,0.13213451,251.56382978723406,0.8542663412025342,0.8542663412025342,1.5463012592114795,1.0
1740000,1.014578,7.0,0.28079382,0.68687314,0.0034812554,0.43882164,0.0002482363,0.18274543,0.008276267,0.025838556,0.11568944,311.01785714285717,0.7763718377473285,0.7763718377473285,1.9440630401656465,1.0
1770000,1.046539,7.0,0.45917973,0.81305206,0.004767193,0.45140597,0.00024733937,0.18244648,0.0082464,0.031020314,0.08093394,221.672131147541,0.8724247975349426,0.8724247975349426,1.2336049804985523,1.0
1800000,1.0418662,7.0,0.4087687,0.71952033,0.003328554,0.43891543,0.0002464606,0.18215355,0.008217139,0.028230922,0.07294716,206.72142857142856,0.860836357816116,0.860836357816116,1.2139374751343646,1.0
1830000,1.0848899,7.0,0.3550944,0.72406703,0.0030771021,0.44706294,0.0002455433,0.18184778,0.008186592,0.028787708,0.089479074,263.264,0.7912145120001608,0.7912145120001608,1.6779953707610407,1.0
1860000,1.1543851,7.0,0.35134292,0.891678,1.9517673,0.43951145,0.00024465338,0.1815511,0.008156956,0.12852484,0.11146247,340.26582278481015,0.7533012733627589,0.7533012733627589,10.502783141170557,1.0
1890000,1.0033661,7.0,0.45584428,0.92658633,0.0047042505,0.47005203,0.00024373205,0.18124399,0.008126276,0.024416106,0.090169586,242.77702702702703,0.8415284663852718,0.8415284663852718,1.8761221149341307,1.0
1920000,1.0696951,7.0,0.37215272,0.671049,0.0031829844,0.4366176,0.00024283063,0.18094352,0.00809626,0.022123782,0.073362,274.4074074074074,0.8147916622735836,0.8147916622735836,1.1793881261341825,1.0
1950000,1.0344167,7.0,0.45376638,0.7317794,0.0032734466,0.47714007,0.00024196577,0.18065524,0.008067457,0.023110421,0.081343636,176.75524475524475,0.8812039947509765,0.8812039947509765,0.9077988286440571,1.0
1980000,0.91383564,7.0,0.4917275,0.65090394,0.0035609677,0.45399728,0.00024105722,0.18035239,0.008037204,0.022868399,0.085395075,174.70388349514562,0.8818574244211806,0.8818574244211806,0.7963129086973201,1.0
2010000,1.0132853,7.0,0.42200398,0.6515925,0.004400502,0.48123145,0.00024015721,0.1800524,0.008007233,0.02855223,0.07466177,210.37692307692308,0.8545939389503363,0.8545939389503363,1.189960050774089,1.0
2040000,0.92728055,7.0,0.3565981,0.6844873,0.0035630842,0.46331507,0.00023924139,0.1797471,0.007976737,0.028755216,0.10516251,213.31333333333333,0.8476959165109663,0.8476959165109663,1.2271583609181602,1.0
2070000,1.030085,7.0,0.3596897,0.64787084,0.0027764589,0.47214833,0.00023838549,0.17946182,0.007948234,0.025160465,0.07409594,178.3304347826087,0.8879008224803554,0.8879008224803554,0.8872587707601796,1.0
2100000,1.076954,7.0,0.28998992,0.55249125,0.0030997242,0.38444456,0.0002374526,0.17915086,0.0079171695,0.022024218,0.06873229,313.31632653061223,0.74832608072978,0.74832608072978,1.6554819533155989,1.0
2130000,0.9872144,7.0,0.40587845,0.5764254,0.0031387096,0.44127223,0.00023652939,0.17884311,0.007886426,0.022849197,0.081105605,199.84516129032258,0.8356503173228234,0.8356503173228234,0.919164759455429,1.0
2160000,1.0149947,7.0,0.4112333,0.64826953,0.0035698826,0.49381003,0.00023565056,0.17855017,0.007857162,0.026449187,0.06796772,224.42957746478874,0.8413151667549692,0.8413151667549692,1.1565069444734475,1.0
2190000,0.98565936,7.0,0.39495012,0.61601216,0.0027995515,0.4489265,0.00023475545,0.1782518,0.0078273555,0.023560118,0.06342398,228.36912751677852,0.8290797156262231,0.8290797156262231,1.120038216269308,1.0
2220000,0.9038495,7.0,0.44719553,0.63483,0.0034975684,0.480527,0.00023384007,0.17794666,0.0077968724,0.026079923,0.056657802,162.90555555555557,0.8930835142567918,0.8930835142567918,0.8125087898224592,1.0
2250000,0.9238587,7.0,0.3963859,0.6402952,0.003472387,0.44169244,0.00023297215,0.17765738,0.0077679725,0.022959542,0.059417758,200.06711409395973,0.8469357084144246,0.8469357084144246,0.9746935380163131,1.0
2280000,0.9496675,7.0,0.37289652,0.7602911,0.004596605,0.47731,0.00023206294,0.1773543,0.007737695,0.034843147,0.0985125,179.1631205673759,0.8829126739480966,0.8829126739480966,1.1441660127143416,1.0
2310000,0.98746955,7.0,0.38582584,0.71635544,0.011956172,0.46260807,0.00023116708,0.17705569,0.0077078626,0.028874118,0.088441946,245.5681818181818,0.8138977081607316,0.8138977081607316,1.6730257331976623,1.0
2340000,0.9164413,7.0,0.36070913,0.57034034,0.0034657815,0.4610433,0.00023025037,0.17675011,0.007677336,0.019324638,0.053436473,216.67549668874173,0.8615517447461615,0.8615517447461615,0.8814882659776644,1.0
2370000,0.89058053,7.0,0.36973563,0.5661543,0.0037605106,0.4792654,0.00022932484,0.17644161,0.0076465164,0.023601253,0.06877764,168.7942857142857,0.8979023360369498,0.8979023360369498,0.8080493222965658,1.0
2400000,0.85934246,7.0,0.5012235,0.93649304,2.3642116,0.4330689,0.00022843828,0.17614606,0.0076169935,0.14750986,0.13810566,151.65921787709496,0.9152705225897463,0.9152705225897463,1.2035060324951221,1.0
2430000,1.037149,7.0,0.35911545,1.0393361,0.061352067,0.4562556,0.00022754062,0.17584686,0.007587102,0.041249473,0.13281819,269.7739130434783,0.8188878195441287,0.8188878195441287,10.843606504393012,1.0
2460000,0.96738213,7.0,0.37645227,0.6312423,0.0036079537,0.46314532,0.00022662601,0.17554198,0.0075566457,0.018198133,0.06978488,202.01898734177215,0.8718922549197751,0.8718922549197751,0.7850800128713731,1.0
2490000,0.8081973,7.0,0.51524454,0.65704906,0.004077962,0.47472328,0.00022575761,0.1752525,0.0075277262,0.02062435,0.061694443,129.28217821782178,0.9215966179103091,0.9215966179103091,0.5327414796566186,1.0
2520000,0.7965582,7.0,0.4735772,0.6554644,0.0031562478,0.4512767,0.00022485961,0.1749532,0.007497824,0.020192059,0.049443983,151.5343137254902,0.9015340177131068,0.9015340177131068,0.6430517665888231,1.0
2550000,0.74411577,7.0,0.5114162,0.5987395,0.0031384192,0.51127625,0.0002239476,0.17464918,0.0074674534,0.018025262,0.045825653,125.25,0.9224911376771041,0.9224911376771041,0.4603513988650518,1.0
2580000,0.8602591,7.0,0.3579614,0.933063,0.19931136,0.45351702,0.00022304642,0.1743488,0.0074374443,0.07517819,0.10434504,268.28205128205127,0.8084389317484029,0.8084389317484029,3.855267361169104,1.0
2610000,0.8423906,7.0,0.4335694,0.8645617,0.005053314,0.47970003,0.00022218373,0.17406125,0.007408717,0.018819686,0.05282617,153.46486486486486,0.9028147358251245,0.9028147358251245,0.8395220111295777,1.0
2640000,0.86586386,7.0,0.435599,1.0470877,0.1111578,0.44367158,0.00022127335,0.17375779,0.0073784012,0.06649312,0.102849394,159.98809523809524,0.9042473339734698,0.9042473339734698,0.9391022208463621,1.0
2670000,0.88871247,7.0,0.36620578,1.1084132,0.14126803,0.44464022,0.00022035722,0.17345239,0.0073478953,0.06935804,0.09746742,234.31333333333333,0.8529891842422453,0.8529891842422453,4.024028730440281,1.0
2700000,0.7020469,7.0,0.51754135,0.8222243,0.004639857,0.4945927,0.00021944626,0.17314875,0.00731756,0.016390353,0.030332068,112.47902097902097,0.9372828562610915,0.9372828562610915,0.38093568617478013,1.0
2730000,0.77318746,7.0,0.48133546,0.7785188,0.0040154695,0.48462868,0.00021853528,0.17284508,0.0072872224,0.018441852,0.050677184,135.9212962962963,0.9214018574287725,0.9214018574287725,0.5406472960010518,1.0
2760000,0.7006669,7.0,0.53263307,0.78542835,0.0041595493,0.48459703,0.00021763252,0.17254415,0.0072571617,0.016699145,0.040208824,114.756,0.9380729049444199,0.9380729049444199,0.43910672054607497,1.0
2790000,0.78074515,7.0,0.4790079,0.7647301,0.0040292987,0.49986038,0.00021673656,0.1722455,0.0072273263,0.021814134,0.050219994,137.2882882882883,0.9226041070130317,0.9226041070130317,0.557590975728073,1.0
2820000,0.74188626,7.0,0.51712984,0.77101076,0.00361728,0.50809616,0.00021586644,0.17195548,0.00719835,0.021959355,0.07299082,116.99555555555555,0.9333999979041391,0.9333999979041391,0.5669994766595063,1.0
2850000,0.83505416,7.0,0.44543517,0.68209475,0.003405973,0.44320253,0.00021497389,0.17165796,0.007168629,0.019813437,0.083788514,171.98907103825135,0.8734457562703871,0.8734457562703871,0.668340254848623,1.0
2880000,0.74622184,7.0,0.5406867,0.68803954,0.003911817,0.46808273,0.00021407127,0.1713571,0.007138572,0.020429332,0.054959234,127.73417721518987,0.9244630225002766,0.9244630225002766,0.5136451084605035,1.0
2910000,0.7711178,7.0,0.44717866,0.6270826,0.005933555,0.45277217,0.00021314961,0.17104983,0.0071078804,0.02245011,0.05712698,142.24229074889868,0.9171607291589589,0.9171607291589589,0.6664425143164042,1.0
2940000,0.6243458,7.0,0.5904688,0.7690073,0.0043811477,0.47476867,0.00021222893,0.17074297,0.0070772213,0.017654944,0.03472953,106.25172413793103,0.9370822123683139,0.9370822123683139,0.4467104976159214,1.0
2970000,0.7297222,7.0,0.6086939,0.78877205,0.0035807898,0.5207405,0.00021134295,0.17044765,0.0070477184,0.016508458,0.03623746,110.57794676806084,0.9438910159515217,0.9438910159515217,0.34688753551017726,1.0
3000000,0.74026364,7.0,0.4994507,0.77869993,0.0034148102,0.49194697,0.00021044946,0.17014979,0.007017966,0.02278391,0.034050357,115.88679245283019,0.9239247750054609,0.9239247750054609,0.5122905315931987,1.0
3030000,0.7497151,7.0,0.46657425,0.7951144,0.008123693,0.47620928,0.00020952408,0.16984135,0.006987151,0.023330037,0.06463507,145.6304347826087,0.900089543312788,0.900089543312788,0.7812826166776093,1.0
3060000,0.8095399,7.0,0.5051478,0.70379406,0.00442556,0.4945608,0.00020863632,0.16954543,0.0069575883,0.025071396,0.067676984,124.13953488372093,0.9294967776688013,0.9294967776688013,0.5011729185173314,1.0
3090000,0.7508938,7.0,0.44238123,0.6709156,0.0043644807,0.508735,0.00020775243,0.16925077,0.0069281533,0.020868152,0.048534714,140.656652360515,0.9133946048830061,0.9133946048830061,0.6766357756069092,1.0
3120000,0.65101886,7.0,0.5451805,0.65854174,0.0032813002,0.511801,0.00020686965,0.16895653,0.006898758,0.020416912,0.057181686,116.628,0.9373910573985034,0.9373910573985034,0.5320579598968228,1.0
